1711929600000,678.80000000,705.00000000,617.40000000,647.60000000,432766.70500000,1712015999999,289380178.02370000,533967,221207.52100000,148083028.08960000,0
1712016000000,647.80000000,649.90000000,587.00000000,639.00000000,334867.06300000,1712102399999,207701670.11640000,461451,170205.91800000,105601045.96830000,0
1712102400000,639.20000000,644.00000000,561.70000000,592.80000000,352889.58300000,1712188799999,211613465.14470000,382873,174190.87200000,104341221.84200000,0
1712188800000,592.80000000,683.80000000,591.30000000,665.40000000,558864.96900000,1712275199999,360454086.82880000,618000,270458.52900000,174275877.31520000,0
1712275200000,665.50000000,719.50000000,645.00000000,657.30000000,521720.66800000,1712361599999,355538241.17790000,634316,281810.79000000,192409051.63900000,0
1712361600000,657.50000000,716.90000000,656.70000000,693.90000000,527039.09900000,1712447999999,367615439.64400000,541547,319239.55100000,222778857.97910000,0
1712448000000,693.90000000,710.10000000,674.70000000,684.80000000,166595.47800000,1712534399999,114639067.13000000,197668,86030.62300000,59198180.27630000,0
1712534400000,684.90000000,712.90000000,678.00000000,681.40000000,203752.83900000,1712620799999,141497403.67260000,241616,110438.05400000,76704150.23970000,0
1712620800000,681.40000000,695.80000000,656.00000000,671.80000000,244522.65500000,1712707199999,166350052.76530000,279056,118831.00500000,80854081.80980000,0
1712707200000,671.80000000,673.80000000,594.70000000,629.20000000,303286.49800000,1712793599999,189164679.23640000,385857,143403.89700000,89383469.38610000,0
1712793600000,629.30000000,629.40000000,599.70000000,614.20000000,97400.25400000,1712879999999,59790768.50040000,117930,48952.66200000,30049554.33770000,0
1712880000000,614.20000000,618.90000000,487.80000000,533.20000000,277284.70100000,1712966399999,154450489.46570000,309194,135321.36400000,75193173.77690000,0
1712966400000,533.40000000,551.70000000,443.00000000,479.60000000,310810.00700000,1713052799999,155667202.03500000,400914,141791.60500000,71308972.78740000,0
1713052800000,479.60000000,530.90000000,453.50000000,525.70000000,226882.95500000,1713139199999,110505777.88680000,293432,115364.94800000,56126979.83890000,0
1713139200000,525.60000000,568.20000000,490.90000000,508.30000000,234628.34200000,1713225599999,123301412.71590000,264741,110069.31500000,57859816.27740000,0
1713225600000,508.30000000,510.50000000,462.50000000,486.90000000,199190.72700000,1713311999999,96478269.64180000,209684,97896.03900000,47458162.14660000,0
1713312000000,486.80000000,490.70000000,446.90000000,463.90000000,127098.09100000,1713398399999,59329466.24140000,158290,58466.84100000,27273900.16840000,0
1713398400000,463.70000000,488.90000000,453.20000000,483.00000000,84325.23000000,1713484799999,40219294.95830000,107064,43287.05200000,20645511.12430000,0
1713484800000,483.10000000,492.40000000,444.30000000,476.80000000,121845.41100000,1713571199999,57768552.73290000,146019,61435.12000000,29105793.39750000,0
1713571200000,476.70000000,522.50000000,470.70000000,515.40000000,97746.41800000,1713657599999,48285697.00730000,104433,52453.20400000,25881659.09830000,0
1713657600000,515.30000000,518.30000000,493.20000000,502.20000000,54528.18200000,1713743999999,27707664.08520000,79006,26878.30700000,13667977.24620000,0
1713744000000,502.20000000,528.00000000,496.20000000,522.70000000,60480.94400000,1713830399999,30995763.49500000,75339,32215.73900000,16512555.75390000,0
1713830400000,522.70000000,523.40000000,501.70000000,505.00000000,57725.74700000,1713916799999,29488824.22670000,68921,32327.68500000,16521166.33610000,0
1713916800000,505.00000000,511.90000000,474.00000000,479.40000000,82120.51100000,1714003199999,40620281.70170000,88063,39817.55600000,19695747.42370000,0
1714003200000,479.60000000,486.00000000,466.80000000,478.10000000,69775.35800000,1714089599999,33330287.20010000,80398,35117.01900000,16779049.01960000,0
1714089600000,478.10000000,493.50000000,466.60000000,482.40000000,47250.07300000,1714175999999,22703379.18820000,62910,23482.91900000,11294204.62410000,0
1714176000000,482.70000000,486.10000000,462.00000000,477.10000000,50248.30000000,1714262399999,23831534.32490000,66938,24231.06900000,11497351.22300000,0
1714262400000,477.00000000,488.00000000,468.20000000,470.50000000,30354.96700000,1714348799999,14572171.38840000,41814,15136.55000000,7268079.87880000,0
1714348800000,470.80000000,474.50000000,447.00000000,465.10000000,56862.53000000,1714435199999,26084342.52950000,68038,26715.78100000,12261484.96410000,0
1714435200000,465.20000000,470.40000000,420.60000000,434.10000000,115595.85300000,1714521599999,50849999.63030000,125741,52215.51300000,23019420.22170000,0
